category,code,description
handshape,ba,Flat hand with thumb extended.
handshape,le,Index finger extended (G hand).
handshape,fa,Open hand with thumb extended.
handshape,se,Fist with thumb closed (S hand).
handshape,bc,Flat hand curled.
handshape,sa,Fist with thumb extended.
handshape,fo,Open hand pinched.
handshape,he,H hand with thumb closed.
handshape,sfa,Fist with thumb fully extended.
handshape,ve,V hand with thumb closed.
handshape,be,Flat hand with thumb closed.
handshape,vle,V hand with G-shape (index finger extended).
handshape,bua,Flat hand bent with thumb extended.
handshape,bca,Flat hand curled with thumb extended.
handshape,ye,Y hand with thumb closed.
handshape,bco,Flat hand curled and pinched.
handshape,lfa,Index finger and thumb fully extended.
handshape,lu,L hand bent.
handshape,lxe,L hand clawed with thumb closed.
handshape,lue,L hand bent with thumb closed.
handshape,hue,H hand bent with thumb closed.
handshape,fca,Open hand curled with thumb extended.
handshape,hre,"H hand with fingers crossed, thumb closed."
handshape,ya,Y hand with thumb extended.
handshape,fc,Open hand curled.
handshape,buo,Flat hand bent and pinched.
handshape,fuo,Open hand bent and pinched.
handshape,flua,Open hand bent with thumb extended.
handshape,lce,L hand curled with thumb closed.
handshape,vce,V hand curled with thumb closed.
handshape,sle,Fist with thumb closed (hyper-articulated T).
handshape,we,W hand with thumb closed.
handshape,bxe,Flat hand clawed with thumb closed.
handshape,so,Fist pinched.
handshape,mue,3 hand bent with thumb closed.
handshape,yfa,Y hand with thumb fully extended.
handshape,lco,L hand curled and pinched.
handshape,la,L hand with thumb extended.
handshape,fe,Open hand with thumb closed.
handshape,lo,L hand pinched.
handshape,lc,L hand curled.
handshape,luo,L hand bent and pinched.
handshape,fu,Open hand bent.
handshape,yle,Y hand with G-shape.
handshape,bu,Flat hand bent.
handshape,vue,V hand bent with thumb closed.
handshape,vfa,V hand with thumb fully extended.
handshape,yue,Y hand bent with thumb closed.
handshape,va,V hand with thumb extended.
handshape,fco,Open hand curled and pinched.
handshape,fsu,Open hand bent with index finger flexed.
handshape,fua,Open hand bent with thumb extended.
handshape,ha,H hand with thumb extended.
handshape,vc,V hand curled.
handshape,vxe,V hand clawed with thumb closed.
handshape,fsc,Open hand curled with index finger flexed.
handshape,lca,L hand curled with thumb extended.
handshape,hce,H hand curled with thumb closed.
handshape,wo,W hand pinched.
handshape,hu,H hand bent.
handshape,lfca,"Index finger and thumb fully extended, curled."
handshape,lxa,L hand clawed with thumb extended.
handshape,yla,Y hand with L-shape.
handshape,bfa,Flat hand with thumb fully extended.
handshape,me,3 hand with thumb closed.
handshape,bce,Flat hand curled with thumb closed.
handshape,flu,Open hand bent.
handshape,bfca,Flat hand curled with thumb fully extended.
handshape,bue,Flat hand bent with thumb closed.
handshape,hfa,H hand with thumb fully extended.
handshape,vca,V hand curled with thumb extended.
handshape,vse,V hand with fingers closed (variant).
handshape,flco,Open hand curled and pinched with middle finger flexed.
handshape,huo,H hand bent and pinched.
handshape,vu,V hand bent.
handshape,bha,Flat hand with ring finger closed (horn shape).
handshape,lua,L hand bent with thumb extended.
handshape,vco,V hand curled and pinched.
handshape,bwa,Flat hand (variant).
handshape,bxa,Flat hand clawed with thumb extended.
handshape,fce,Open hand curled with thumb closed.
handshape,fue,Open hand bent with thumb closed.
handshape,ma,3 hand with thumb extended.
handshape,vuo,V hand bent and pinched.
handshape,ylfa,Y hand with thumb fully extended (variant).
handshape,blyuo,Flat hand bent and pinched (variant).
handshape,bo,Flat hand pinched.
handshape,fla,Open hand with index and thumb extended (variant).
handshape,flc,Open hand curled with middle finger flexed.
handshape,fle,"Open hand with middle finger flexed, thumb closed."
handshape,flue,Open hand bent with thumb closed.
handshape,fsca,"Open hand curled with index finger flexed, thumb extended."
handshape,fsuo,Open hand bent and pinched with index finger flexed.
handshape,hc,H hand curled.
handshape,sme,Fist with thumb closed (hyper-articulated M).
handshape,vfca,V hand curled with thumb fully extended.
handshape,wa,W hand with thumb extended.
handshape,yce,Y hand curled with thumb closed.
handshape,bfu,Flat hand bent with thumb fully extended.
handshape,bla,Flat hand with middle finger closed.
handshape,bvuo,Flat hand bent and pinched (variant).
handshape,fluo,Open hand bent and pinched.
handshape,fmco,Open hand curled and pinched with ring finger flexed.
handshape,fsce,"Open hand curled with index finger flexed, thumb closed."
handshape,fvc,Open hand curled with index and middle fingers flexed.
handshape,fvua,"Open hand bent with index and middle fingers flexed, thumb extended."
handshape,fwc,Open hand curled with pinky finger flexed.
handshape,fwu,Open hand bent with pinky finger flexed.
handshape,hco,H hand curled and pinched.
handshape,she,Fist with thumb closed (hyper-articulated N).
handshape,slyue,Fist with thumb closed (hyper-articulated variant).
handshape,vla,V hand with L-shape.
handshape,vluo,V hand bent and pinched.
handshape,vo,V hand pinched.
handshape,yma,Y hand with 3-shape.
handshape,ysle,Y hand with fist-shape (variant).
handshape,ywe,Y hand with W-shape.
orientation,it,"Knuckles upward, palm inward."
orientation,at,"Knuckles forward, palm inward."
orientation,ak,"Knuckles forward, palm downward."
orientation,ia,"Knuckles upward, palm forward."
orientation,te,"Knuckles inward, palm backward."
orientation,ie,"Knuckles upward, palm backward."
orientation,ai,"Knuckles forward, palm upward."
orientation,tk,"Knuckles inward, palm downward."
orientation,ti,"Knuckles inward, palm upward."
orientation,ke,"Knuckles downward, palm backward."
orientation,kt,"Knuckles downward, palm inward."
orientation,ta,"Knuckles inward, palm forward."
orientation,ek,"Knuckles backward, palm downward."
orientation,ja,"Knuckles outward, palm forward."
orientation,ij,"Knuckles upward, palm outward."
orientation,ji,"Knuckles outward, palm upward."
orientation,jk,"Knuckles outward, palm downward."
orientation,kj,"Knuckles downward, palm outward."
orientation,aj,"Knuckles forward, palm outward."
orientation,et,"Knuckles backward, palm inward."
orientation,ka,"Knuckles downward, palm forward."
orientation,ej,"Knuckles backward, palm outward."
orientation,ei,"Knuckles backward, palm upward."
location,pj,Palm
location,fj,Fingers
location,bj,Thumb side of hand
location,oi,Mouth
location,wi,Temple/Forehead
location,I,Above neutral space
location,sj,Back of Wrist
location,ui,Chin
location,ni,Cheek
location,ct,Side of chest(dom)
location,st,Center of chest
location,ci,Nose
location,cj,Shoulder/Side of chest(non-dom)
location,lj,Forearm
location,fje,Between fingers
location,fuj,Back of hand
location,K,Below neutral space
location,dj,Pinky side of hand
location,qi,Eye
location,A,In front of neutral space
location,E,Behind neutral space
location,gi,Ear
location,suj,Palm side of wrist
location,bt,Belly or abdomen
location,luj,Inner elbow
location,gt,Waist
location,ut,Throat
location,fi,Top of head
location,fjl,Tip of index figner
location,T,Inward of neutral space
location,J,Outward of neutral space
