English,Signs,Unicode Signs
Accuse,"aP&s""LG",റ⸝O̮രⴱ☓ᕤ
Across,"b&""MGJ&",ΠO̮ⴱⴳᕤᘕO̮
Act 1,aP%8:LEGwy,റ⸝Ȏᑯᑲ☓Ṿᕤᣛᴺ
Act 2,pR%%Cvy,Ж℩ȎȎⵢ⁼ᴺ
Act 3,c%%Cvy,СȎȎⵢ⁼ᴺ
Activity 1,pR%%Cvzzy,Ж℩ȎȎⵢ⁼⁷⁷ᴺ
Activity 2,c%%Cvzzy,СȎȎⵢ⁼⁷⁷ᴺ
Add,p!!DxoSoSL,ЖⵀⵀᐲᙾО⁊О⁊☓
Address,a!8:MDvy,റⵀᑯᑲⴳᐲ⁼ᴺ
Adore,"s""6LGzz",രⴱ⩇☓ᕤ⁷⁷
Adult 1,aP%6LD0L,റ⸝Ȏ⩇☓ᐲᨓ☓
Adult 2,bS!!8S:SD/S1Sv,Π⁊ⵀⵀᑯ⁊ᑲ⁊ᐲᕂ⁊ᕃ⁊⁼
Advance 1,bS!!DNv,Π⁊ⵀⵀᐲ¦⁼
Advance 2,d(p(MB,∣ᓂЖᓂⴳᐳ
Advice,"oS$b""MGpy",О⁊ⵕΠⴱⴳᕤЖᴺ
Advise 1,"oSb""MGp",О⁊ΠⴱⴳᕤЖ
Advise 2,"oSb""MGpS",О⁊ΠⴱⴳᕤЖ⁊
Affix nut,o*d(BMB,Оⴲ∣ᓂᐳⴳᐳ
Afraid,p((9BAy,Жᓂᓂɤᐳᐸᴺ
Africa 1,a%3HL,റȎ⦣ꕊ☓
Africa 2,oS&ApSEoS,О⁊O̮ᐸЖ⁊ṾО⁊
Afternoons,b$P%MJ!y,Πⵕ⸝Ȏⴳᘕⵀᴺ
Again,bS!b!IL,Π⁊ⵀΠⵀᘖ☓
Age,c%6LEsy,СȎ⩇☓Ṿരᴺ
Agree,d(0L-d!!IEv,∣ᓂᨓ☓-∣ⵀⵀᘖṾ⁼
Airplane,jP(5SGy,Ч⸝ᓂᒍ⁊ᕤᴺ
All 1,a&AdP,റO̮ᐸ∣⸝
All 2,"b""!JHL",Πⴱⵀᘕꕊ☓
All afternoon,"b)""MJ!Ez",ΠᓇⴱⴳᘕⵀṾ⁷
All day,"b)""MJ!ELz",ΠᓇⴱⴳᘕⵀṾ☓⁷
All morning,b)R%MDz,Πᓇ℩Ȏⴳᐲ⁷
All night 1,b)(MJ!Bz,Πᓇᓂⴳᘕⵀᐳ⁷
All night 2,"bS$""MJ!Ez",Π⁊ⵕⴱⴳᘕⵀṾ⁷
All of them,a&GAdP,റO̮ᕤᐸ∣⸝
All right,b&!MGJ%y,ΠO̮ⵀⴳᕤᘕȎᴺ
All week,d!b!LAzL,∣ⵀΠⵀ☓ᐸ⁷☓
Alligator,"pR!!LJ""Dvy",Ж℩ⵀⵀ☓ᘕⴱᐲ⁼ᴺ
"Allow, let",b!!J%G,ΠⵀⵀᘕȎᕤ
Almost,"b#""QLD",Πⵚⴱₒ☓ᐲ
Alone,"d""CyG",∣ⴱⵢᴺᕤ
Always,d&AFy,∣O̮ᐸᘐᴺ
America,p++LHvy,Ж◷◷☓ꕊ⁼ᴺ
Among,d(n(GFyE,∣ᓂቨᓂᕤᘐᴺṾ
Amusement park,uR!GEwy,ᐯ℩ⵀᕤṾᣛᴺ
Analyze 1,u((ABuRy,ᐯᓂᓂᐸᐳᐯ℩ᴺ
Analyze 2,u++ABuRy,ᐯ◷◷ᐸᐳᐯ℩ᴺ
Ancestors,"b#""Q8DFwy",Πⵚⴱₒᑯᐲᘐᣛᴺ
And,"pS""AoS",Ж⁊ⴱᐸО⁊
Angry,pR!9DAB,Ж℩ⵀɤᐲᐸᐳ
Animal 1,p(9LBAy,Жᓂɤ☓ᐳᐸᴺ
Animal 2,b(9LBAy,Πᓂɤ☓ᐳᐸᴺ
Announce 1,d#6LIAB,∣ⵚ⩇☓ᘖᐸᐳ
Announce 2,"d(6LJ""AB",∣ᓂ⩇☓ᘕⴱᐸᐳ
